id,judul,foto,penerbit,isbn,tempat_terbit
,Pengantar sosiologi jilid 2,,Tiara Wacana Yogya,979-8120-36-1,Yogyakarta
,Sosiologi suatu pengantar,,Rineka Cipta,979-518-049-5,Jakarta
,Backstage At an Animated Series,,Childrens Press,0-534-24323-3,Mexico
,Pengantar Sosiologi sebuah pembanding Jilid 1,,PT. Tiara Wacana Yogya,979-8120-10-8,Yogyakarta
,Backstage at a Movie Set,,Chidrens Press,0-526-24325-1,Canada
,Gizi dan kesehatan masyarakat,,FKM UI,978-979-769-116-5,Jakarta
,Sociological theory,,Mc Graw Hill Higher,0-07-281718-6,New York
,Ilmu Peluang dab Statistika untuk Insinyur dan Ilmuwan,,ITB Bandung,979-9299-45-4,Bandung
,Backstage at a Music Video,,Childrens Press,0-536-24324-1,Canada
,Buku ajar ilmu gizi : Gizi dalam daur kehidupan,,Gramedia Pustaka Utama,979-448-654-x,Jakarta
,Block to sociological theory,,Mcmillan,0-333-60543-8,London
,Numerical Methods for engin eers : with software and programming aplications,,McGraw Hill Book Company,0-07-243193-8,North Amerika
,Menggambar sebuah proses kreatif,,Gramedia Pustaka Utama,979-688-488-7,Jakarta
,Readings,,Gramedia Pustaka Utama,0-07-230060-4,Jakarta
,"Interprenting the past, understanding the present",,Macmillan,0-333-49370-2,London
,Panduan gizi lengkap keluarga dan olaragawan,,Gramedia Pustaka Utama,979-763-634-8,Yogyakarta
,Dasar-Dasar Ilmiah Kepelatihan,,CBS College Publishing,0-03-057961-9,"Holt, Rinehart and Winston"
,Komposisi Arsitektur,,Erlangga,979-411-650-5,Jakarta
,Kepemimpinan dan perilaku organisasi,,Gramedia Pustaka Utama,979-421-952-5,Jakarta
,Menata Ruang Laut Terpadu,,PT Pradnya Paramita,979-408-526-x,Jakarta
,Pengelolaan Gudang Dalam Industri Kayu,,Kanisius,979-497-196-0,Semarang
,Ilmu Bahasa Umum,,Rul,979-8310-04-7,Jakarta
,Sociology the core,,Gramedia Pustaka Utama,0-07-112878-6,New York
,Explanation and social theory,,Gramedia Pustaka Utama,0-333-59461-4,Leiden
,Pengantar Fisika Bangunan,,Djambatan,979-428-214-6,Jakarta
,Program kesiapan musik piano kawanku,,Djambatan,979-428-434-3,Jakarta
,Max weber's construction of social theory,,Gramedia Pustaka Utama,0-333-28546-8,London
,Aliran-aliran filsafat & etika,,Prenada Media,979-3465-22-0,Jakarta
,Simulasi;Teknik Programa Dan Metode Analisis,,Andi,979-533-004-7,Yogyakarta
,Filsafat umum,,PT. Remaja Rosdakarya,979-514-054-X,Bandung
,Filsafat untuk semua,,PT. Lentera Basritama,979-8880-98-6,Jakarta
,Sistim Informasi Manajemen,,Prenhallindo,9798901-02-9,Jakarta
,Gizi dalam daur kehidupan,,Gramedia Pustaka Utama,979-448-654-x,Jakarta
,Ilmu Gizi,,Rineka Cipta,979-518-005-3,Jakarta
,Prinsip-perinsip,,Gramedia Pustaka Utama,979-413-765-0,Yogyakarta
,Ilmu Gizi ; Untuk Mahasiswa Dan Propesi,,PT. Dian Rakyat,979-523-064-x,Jakarta
,Ilmu gizi,,papas sinar sinanti,979-410-344-6,Jakarta
,Simulasi Komputer Sistem Diskrit,,Andi,979-763-823-5,Yogyakarta
,Struktur dan fungsi tubuh manusia para medis,,CV. Yrama Widya,979-543-127-7,Bandung
,Memahami Sistim Informasi,,Informatiaka Bandung,979-3338-30-x,Bandung
,Promosi kesehatan dan perilaku kesehatan,,Priastu,979-979-518-882-7,Jakarta
,Riset Operasional;Konsep-konsep Dasar,,Rineka Cipta,979-518-908-5,Jakarta
,Tumbuh kembang anak,,EGC,978-979-044-463-8,Jakarta
,Gizi dan kesehatan masyarakat,,Gramedia Pustaka Utama,978-979-769-116-5,Jakarta
,Dasar-dasar komunikasi bisnis,,UPP AMP YKPN,979-8170-88-1,Yogyakarta
,Membangun kecerdasan bisnis,,Inspirasi,979-963-164-3,Yogyakarta
,Pengenalan Teknologi Iformasi,,Andi Offset,979-731-637-8,Yogyakarta
,Easy Computer Basic,,Ekuator Digital,979-3572-12-4,Jakarta
,Pengenalan informatika Perspektif Teknik Dan Lingkungan,,Andi Offset,979-731-604-1,Yogyakarta
,Sistem Informasi Akuntansi;Pendekatan Tanya Jawab,,Rineka Cipta,979-518-534-9,Jakarta
,Prinsip- Prinsip Riset Operasi,,Erlangga,979-781-034-8,Jakarta
,Ilustrasi Desain Interior,,Erlangga,979-688-068-7,Ciracas Jakarta
,Pokok-Pokok Teori Sistem,,Rajawali Pers,979-421-019-6,Jakarta
,Structures of power and constraint,,Cambridge University Press,0-521-36598-8,Bandung
,Negosiasi yang sukses dalam sepekan,,Kesaint Blanc,979-593-230-6,Jakarta
,Ilmu komunikasi pengantar studi,,Gramedia Pustaka Utama,979-518-467-9,Jakarta
,"Arsitektur, Manusia dan Pengamatannya",,Djambatan,979-428-000-3,Jakarta
,Marketing architectural and engineering services,,"Krieger Publishing Company Malabar, Florida",0-89464-377-0,Florida
,Psikologi sosial,,Gramedia Pustaka Utama,979-518-044-4,Jakarta
,Pengantar Pengolahan Citra,,Alex Media Komputindo,979-537-090-1,Jakarta
,Psychology,,The Falmer Press,1-85000-836-1,London
,Pengantar sosiologi sebuah pembanding Jilid 1,,Gramedia Pustaka Utama,979-8120-10-8,Yogyakarta
,Ilmu sosial dasar,,Djambatan,979-526-026-x,Jakarta
,Ilmu filsafat suatu pengantar,,Rineka Cipta,979-518-542-X,Jakarta
,Filsafat Pendidikan,,Karya Abditama,979-8571-08-8,Surabaya
,Perinsip dasar ilmu gizi,,PT.geramedia,979-655-686-3,Jakarta
,Grafik Arsitektur,,Erlangga,979-411-543-6,Jakarta
,Filsafat Ilmu Komunikasi,,Simbiosa rekatama media,9793378225-0,Bandung
,Ilmu Gizi,,Pradnya Paramita,979-410-344-6,Jakarta
,Sosiologi,,Gramedia Pustaka Utama,65--100-6,Jakarta
,Pengantar filsafat,,PT. Bumi Aksara,979-526-270-X,Jakarta
,Rahasia anak genius,,java pustaka media,978-602-96291-5-6,Jakarta
,Ilmu budaya dasar,,Gramedia Pustaka Utama,979-511-396-8,Jakarta
,Belajar Bermain Bola Volley,,CV. Pionir Jaya,979542250-2,Bandung
,Arsitektur Kolonial Belanda di Indonesia,,Gadjah Mada University Press,979-420-263-0,Yogyakarta
,Ilmu Kesehatan Masyarakat :Prinsip-prinsip Dasar.,,Gramedia Pustaka Utama,979-518-677-9,Jakarta
,Filsafat Analitik,,CV. Rajawali,979 421 096 X,Jakarta
,Antomi fisiologi untuk keperawatan,,Gramedia Pustaka Utama,979-448-525-x,Jakarta
,Manajemen sekretaris,,Gramedia Pustaka Utama,979-450-431-9,Jakarta
,Metodologi penelitian,,Gramedia Pustaka Utama,979--421-104-4,Jakarta
,Metodology penelitian filsafat,,Kanisius,979-413-262-4,Yogyakarta
,Metafisika,,Gramedika Pustaka Utama,979-511-283-x,Jakarta
,Latihan Metode Baru Sepak Bola Pertahanan,,CV. Pionir Jaya,979542164-6,Bandung
,Masyarakat dan kebudayaan,,Djambatan,979-428-102-6,Jakarta
,Metodologi penelitian kualitatif,,Rakesarasin,979-8975-05-7,Yogyakarta
,Dinamika komunikasi,,Remaja Rosdakarya,979-514-186-4,Bandung
,Sistem komunikasi indonesia,,Gramedia Pustaka Utama,979-421-995-9,Jakarta
,Psikologi sosial,,Gramedia Pustaka Utama,979-518-044-4,Jakarta
,Komunikasi bisnis untuk sekretaris,,Gramedia Pustaka Utama,52-01-001-4,Jakarta
,Membangun Rumahtanpa Arsitek: 17 Desain Rumah tinggal Modern Minimallis,,Andi,979-763-657-7,Yogyakarta
,Ilmu Gizi Untuk Keperawatan dan gizi kesehatan,,Nuha Medika,97897915565-8-3,Yogyakarta
,Percikan Masalah Arsitektur Perumahan Perkotaan,,Gadjah Mada University Press,979-420-314-9,Yogyakarta
,Pengantar metode penelitian,,Fakultas Ekonomi UI,979-456-031-6,Jakarta
,Akustik Lingkungan,,Erlangga,32-00-095,Jakarta
,Buku ajar histologi,,EGC,979-448-089-4,Jakarta
,Biokimia kedokteran dasar : sebuah pendekatan klinis,,Gramedia Pustaka Utama,979-448-483-0,Jakarta
,Gangguan2 komunikasi pada disfungsi hemisfer kanan & pemeriksaan komunikasi hemisfer kanan (PKHK),,Gramedia Pustaka Utama,979-428-518-8,Jakarta
,BIOKIMIA Satuan Pendekatan Beroroientasi Kasus,,Gajah mada university press,979-420-288-6,Yogyakarta
,Patologi klinik untuk kurikulum pendidikan dokter berbasis kompetensi,,Universitas Trisakti,979-8398-96-3,Jakarta
,User's guide to preventing & reversing diabetes naturally = mengenal cara memamfaatkan makanan dan suplemen sebagai perlindungan terhadap gangguan gula darah,,Buana Ilmu Komputer,979-694-644-0,Jakarta
,"Percobaan perancangan, analisis, dan interpretasinya",,Gramedia Pustaka Utama,979-511-105-1,Jakarta
,Prosedur penelitian : suatu pendekatan praktek,,Rineka Cipta,978-979-518-998-5,Jakarta
,Data obat di Indonesia (DOI),,Grafidian Medipress,979-97247-0-8,Jakarta
,Seni Tari Jawa : Tradisi Surakarta dan Peristilahannya,,Gramedia Pustaka Utama,979-8310-00-4,Jakarta
,Seni Pertunjukan Indonesia Di Era Globalisasi,,Depdikbud,979-8439-06-6,Jakarta
,Belajar Tenis Untuk Pemula,,CV. Pionir Jaya,979-542219-7,Bandung
,"Sport Development Index ( konsep, motodologi dan aplikasi )",,Indeks,979-683-847-8,Jakarta
,Teknik Bermain Ping Pong,,CV. Pionir Jaya,979542259-6,Bandung
,Teori psikologi sosial,,Gramedia Pustaka Utama,979-421-094-3,Jakarta
,Belajar Bulu Tangkis,,CV. Pionir Jaya,979-979542165-4,Bandung
,Pembinaan Kondisi Fisik Dalam Olahraga,,Depdikbud,B021588,Jakarta
,Pertunjukan untuk Pelatih Pemain Bola Basket,,CV. Pionir Jaya,979542219-7,Bandung
,The irony of democracy : an uncommon introduction to american politics,,Duxbury Press,0-87872-148-7,Jakarta
,Teknik Penangkapan Ikan,,Rineka Cipta,979-518-863-1,Jakarta
,Secondary research information sources and methods,,Sage Publications,0-8039-2339-2,London
,Buku Pintar Tenis Meja,,Nuansa,978-979-1362-05-4,Bandung
,Tenis Tingkat Pemula,,RajaGrafindo Persada,979-421-536-8,Jakarta
,Teori & praktek kepemimpinan,,Gramedia Pustaka Utama,979-518-169-6,Jakarta
,Psikologi sosial,,Gramedia Pustaka Utama,979-518-044-4,Jakarta
,Dinamika kelompok,,Djambatan,979-526-109-6,Jakarta
,Psikologi sosial,,Balai Pustaka,979-666-233-7,Jakarta
,Psikologi sosial,,Gramedia Pustaka Utama,979-8020-17-0,Bandung
,Psikologi sosial,,Gramedia Pustaka Utama,979-518-044-4,Jakarta
,Psikologi sosial,,Gramedia Pustaka Utama,13-00-024-5,Jakarta
,Psikologi sosial,,Gramedia Pustaka Utama,13-00-021-1,Jakarta
,Teori psikologi sosial,,Gramedia Pustaka Utama,979-421-094-3,Jakarta
,Gizi dalam daur kehidupan : buku ajar,,Gramedia Pustaka Utama,979-448-654-x,Jakarta
,Social psychology,,CBS College Publishing,0-03-063411-3,London
,"Meningkatkan hormon secara alami : cara tepat memanfaatkan hormon sendiri tanpa rekayasa alternatif untuk meraih keelokan tubuh, keperkasaan dan ketangguhan",,Gramedia Pustaka Utama,979-421-839-1,Jakarta
,Belajar dan Berlatih Atletik,,CV. Pionir Jaya,9795421-47-6,Bandung
,Sociological thought,,Gramedia Pustaka Utama,0-333-55861-8,London
,Communicative action,,Polity Press,0-7456-05540,Hongkong
,Promosi kesehatan : teori dan aplikasi,,Priastu,979-518-941-7,Jakarta
,Social psychology,,Unitet States,0-205-12602-2,Jakarta
,Kesehatan & gizi,,Gramedia Pustaka Utama,979-518-827-5,Jakarta
,Autonomy and social interaction,,New York Press,0-7914-0345-9,Jakarta
,Manggarai dan wujud tertinggi,,"LIPI-RUL,",979-8258-00-2,Jakarta
,Recent advances in social psychology,,Elsevier science Publishers,0-444-88509-9,Sydney
,Filsafat rakyat jelata,,Menteri penerangan Republik Indonesia,0216-8804,NTT
,Pengantar statistik kesehatan,,Gramedia Pustaka Utama,979-448-285-4,Jakarta
,Penilaian Status Gizi,,EGC,979-648-566-2,Jakarta
,Human berhavior in todays world,,Praeger,0-275-93588-4,London
,Kesehatan lingkungan,,Gajah Madah Universitas,979-420-309-2,Bandung
,Self & society,,Allyn and Bagon,0-205-12635-9,London
,Starting sociology,,Harper Collins,0-06-044078-3,Leiden
,Filsafat pancasilaisme,,PT. Bina Aksara,BA-2-A-360-88,Jakarta
,Memelihara kesehatan jasmani melalui makanan : suatu studi kepusrakaan,,ITB Bandung,979-3507-07-1,Bandung
,Theories of social psychology,,Gramedia Pustaka Utama,07-066559-1,Leiden
,Estetika filsafat keindahan,,Kanisius,979-413-941-6,Yogyakarta
,Macrosociology an introduction to human societies,,Gajah mada university press,0-06-045713-9,Leiden
,Diet jus untuk kesehatan sempurna,,Prestasi Pustaka,978-979-24-1132-4,Jakarta
,"Ilmu gizi : korelasi gizi, kesehatan, dan produktivitas kerja Ilmu gizi : korelasi gizi, kesehatan, dan produktivitas kerja",,Rineka Cipta,979-518-005-3,Jakarta
,Essays on self reference,,Columbia University Press,0-231-06368-7,New York
,Introduction to business,,Gooduear Publishing Comp,0-87620-438-8,California
,Keluarga berencana & kesehatan reproduksi,,EGC,979-448-700-7,Jakarta
,Ilmu kesehatan masyarakat : materi-materi pokok,,Widya Medika,979-519-025-3,Jakarta
,Rahasia kebugaran dan pelatihan olahraga soviet,,Gramedia Pustaka Utama,979-8001-03 4,Bandung
,B022278 Komunikasi & regulasi penyiaran,,Kencana,979-3925-13-2,Jakarta
,The electronic office and you; a guide to the new technology for secretaries and office staff,,Great Britain at the University Press,0-566-02573-6,Cambridge
,ASI ;Petunjuk untuk tenaga kesehatan,,Gramedia Pustaka Utama,979-448-367-2,Jakarta
,Etika komunikasi kantor,,Kanisius,979-413-327-2,Yogyakarta
,Komunikasi kelompok,,UI Press,0-13-365221-1,Jakarta
,Kebugaran kesehatan,,Gramedia Pustaka Utama,979-421-812-x,Jakarta
,Metode Penelitian Bisnis,,Alfabeta,979-8433-36-9,Bandung
,Perilaku dalam organisasi,,Erlangga,54-10-058-1,Jakarta
,Komunikasi antarbudaya,,Gajah mada university press,979-514-782-x,Jakarta
,Ilmu komunikasi sebuah pengantar ringkas,,Gramedia Pustaka Utama,979-421-159-1,Jakarta
,Etika komunikasi kantor,,Gramedia Pustaka Utama,979-413-327-2,Yogyakarta
,Komunikasi bisnis,,Amara Books,979-3485-34-5,Yogyakarta
,Komunikasi & hubungan masyarakat internasional,,PT. Refika Aditama,979-3304-33-2,Bandung
,Pangan Dan Gizi Untuk Kesehatan,,Raja Grafindo Persada,979-421-907-X,Jakarta
,Evaluasi Gizi Pada Pengolahan Bahan Pangan,,ITB Bandung,0-87005-189-2,Bandung
,Komunikasi pembangunan pengenalan teori dan penerapannya,,Gramedia Pustaka Utama,979-421-162-1,Jakarta
,Peranan Gizi Dalam Pembangunan Nasional,,Cv. Raja Wali,979-421-000-5,Jakarta
,Terapi Gizi Diet & Rumah Sakit,,Buku Kedokteran EGC,979-448-729-5,Jakarta
,Ilmu komunikasi,,Gramedia Pustaka Utama,979-421-159-1,Jakarta
,Seksualitas teori dan realitas,,Program Gender dan seksualitas,979-98711-0-7,Jakarta
,Ilmu komunikasi suatu pengantar,,Gramedia Pustaka Utama,979-514-993-8,Bandung
,Kebijakan dan perencanaan komunikasi,,LP3ES,979-8391-36-5,Jakarta
,HARDBALL The Education Of a Baseball Commissioner,,Mc Graw Hill Higher,0-07-035598-3,Bandung
,Bugar dengan senam aerobik,,Gramedia Pustaka Utama,979-421-811-1,Jakarta
,Buku Pintar Bola Basket,,Penerbit JEMBER,979-24-5696-1,Bandung
,Cara pintar lobi & negosiasi,,Tugu Publisher,979-3189-44-4,Yogyakarta
,Kapita selekta komunikasi pendekatan budaya dan agama,,Simbiosa rekatama media,979-3782-33-1,Bandung
,Bagaimana memenangkan catur dengan cepat,,CV. Pionir Jaya,979-542-139-5,Bandung
,Gizi dan kesehatan,,Graha ilmu,978-979-756-303-5,Yogyakarta
,Administrasi kearsipan; suatu pengantar,,Gramedia Pustaka Utama,979-421-001-3,Jakarta
,Higiene Perusahaan dan kesehatan kerja,,Sagung seto,979-8563-42-5,Jakarta
,Cara-cara pengolahan kearsipan ysng prsktis dan efisien,,Gramedia Pustaka Utama,979-428-287-1,Jakarta
,1001 fenomena sepak bola,,Oase Media,978-979-1167-42-0,Bandung
,Pola kearsipan moderen; sistem kartu kendali,,Gramedia Pustaka Utama,979-428-281-2,Jakarta
,BELAJAR BERENANG,,CV. Pionir Jaya bandung,979-542-260-X,Bandung
,Dasar-dasar Senam,,Penerbit Angkasa Bandung,979-404-281-1,Bandung
,Dasar-dasar Renang,,Penerbit buku kedokteran EGC,979-404-101-7,Bandung
,Foundations of social choice theory,,Cambridge University Press,0-521-38913-5,Amerika
,Social Psychology,,"Prentice-Hall International, Inc",0-13-830431-9,Amerika
,Buku Ajar Fisiologi Kedokteran,,Penerbit buku kedokteran EGC,979-448-357-5,Jakarta
,Cooperation and prosocial behaviour,,Tiara Wacana,0-521-39110-5,Australia
,Theories of social psychology,,McGraw-Hill International Book Company,07-066559,Mexico
,A level Sociology Patterns,,Macmillan,0-333-64385-2,Library
,Jaringan berbasis linux,,Andi Yogyakarta,979-533-878-1,Yogyakarta
,Berkarya dengan mikrokontroler,,PT. Elex Media Komputindo Kelompok Gramedia,979-20-9661-2,Jakarta
,Pengenalan jaringan portokol jaringan wireless,,Andi,979-731-836-2,Yogyakarta
,Dasar-dasar Teknik dan Pemrograman CNC,,"PT. Rosda Jayaoutra, Jakarta",979-426-162-9,Jakarta
,Jaringan Wi-Fi,,Gramedia Pustaka Utama,979-763-097-8,Yogyakarta
,IP rounting dan Firewall dalam linux,,Gramedia Pustaka Utama,979-763-133-8,Yogyakarta
,Nilai Gizi Pangan,,Graha ilmu,979-756-048-X,Yogyakarta
,Menuju Gaya Hidup Sehat,,Gramedia Pustaka Utama,979-511-760-2,Jakarta
,Sehat & Bugar,,Gramedia Pustaka Utama,979-605-022-6,Jakarta
,Teerapi Jus,,PT Inter Masa,797-694-382-4,Jakarta
,Sundanese Music In The Cianjuran Style,,Gramedia Pustaka Utama,90 6765 455 8,nethherlans
,The Secret Life Of Water,,Gramedia Pustaka Utama,979-22-2201-4,Jakarta
,"Manajemen kearsipan;untuk lembaga negara, swasta, dan perguruan tinggi",,Djambatan,979-526-017-0,Jakarta
,ENCORE. 3 English Developmental Reading Series,,Heinle & Heinle Publisher,0-8384-1298-x,Bandung
,Ada Apa Dibalik Musik ROCK,,Indonesia Publishing House,979-504-083-9,Bandung
,Kriptografi; keamanan internet dan jaringan komunikasi,,Informatika Bandung,979-3338-16-4,Bandung
,Membuat Arasemen Musik Dengan Komputer,,Eska Media,979-3738-C2-2,Jakarta
,Kriptografi,,Informatika Bandung,979-3338-88-1,Bandung
,Neuro Science,,Pusat Grafika Indonesia,978-0-87893-725-7,Sunderland
,Davson's Physiology EYE,,Macmillan academic and Profesional Ltd,0-333-45860-5,London
,Smart Games For Out Bound Training,,Diva Press (angota Ikapi),979-963-547-0,Jogjakarta
,Permainan Tradisional Jawa,,Kepel Press Purwaggan,979-9523-02-8,Purwanggan
,Tari Ritual Sang Hyang Jaran,,Citra Etnika Surakarta,979-3192-09-7,Surakarta
,Penanganan Jaringan Komputer,,Andi,979-731-800-1,Yogyakarta
,Membangun VPN Linux Secara Cepat,,Andi,979-731-690-4,Yogyakarta
,Konsep Dan Penerapan Microsoft TCP/IP,,Andi,979-763-179-6,Yogyakarta
,Matinya ilmu komunikasi,,Resist Book,979-3723-86-6,Yogyakarta
,Teori komunikasi massa,,Grasindo,979-669-959-1,Jakarta
,Komunikasi organisasi,,Djambatan,979-526-187-8,Jakarta
,Koordinasi alat pemersatu gerak administrasi,,Intermedeia,979.808 1-003-5,Jakarta
,Prinsip-prinsip akuntansi,,Gramedia Pustaka Utama,979-411-728-5,Jakarta
,Ilmu Filsafat Suatu Pengantar,,Rineka Cipta,979-518-542-X,Jakarta
,Metode Penelitian,,Gramedia Pustaka Utama,979-450-173-5,Jakarta
,Perilaku organisasi konsep dasar dan aplikasinya,,Gramedia Pustaka Utama,979-421-015-3,Jakarta
,Komunikasi massa analisis interaktif budaya massa,,Gramedia Pustaka Utama,978-979-518-651-5-9,Jakarta
,akuntansi biaya,,Erlangga,979-411-737-4,Jakarta
,Organisasi,,Erlangga,54-10-065-6,Jakarta
,Statistik teori dan aplikasi,,Gramedia Pustaka Utama,979-688-067-9,Jakarta
,Media massa siapa mengorbankan siapa,,Fisipol UGM,979-8147-09-X,Yogyakarta
,Media massa masyarakat & modern,,Gramedia Pustaka Utama,979-3465-36-0,Jakarta
,Komunikasi Bisnis dan profesional,,PT. Remaja Rosdakarya,979-514-681-5,Bandung
,Memangkas birokrasi,,PPM,979-442-107-3,Jakarta
,Seni komunikasi bagi para pemimpin,,Kanisius,979-413-412-0,Yogyakarta
,30 cara menjadi kreatif,,Khalifa,979-99871-6-4,Jakarta Timur
,Komunikasi massa sebuah analisis media televisi,,Gramedia Pustaka Utama,979-518-651.5,Jakarta
,Dalam berkenalan persahabatan; Surat-surat Raja Ali Haji kepada Van de Wall,,KPG (kepustakaan populer gramedia),979-91-0057-7,Jakarta
,Society and culture,,Prentice-Hall,13-81680-X,America
,Komunikasi regulasi & penyiaran,,Gramedia Pustaka Utama,979-3925-13-2,Jakarta
,Human communication,,Remaja Rosdakarya,979-514-578-9,Bandung
,Business communication; building critical skills,,Gramedia Pustaka Utama,0-07-121484-4,Bandung
,Human communication konteks-konteks komunikasi,,PT. Remaja Rosdakarya,979-514-578-9,Bandung
,Tentang menulis mengapa menulis dan menulislah,,Diglossia,978-602-98036-5-5,Yogyakarta
,Mencuri kejernihan dari kerancuan,,Gramedia Pustaka Utama,979-605-873-1,Jakarta
,Pengantar ilmu komunikasi,,Gramedia Pustaka Utama,979-421-678-x,Jakarta
,Jalan pintas menguasai SPSS,,Andi,979-731-005-1,Yogyakarta
,Konsep Olap Aplikasinya Menggunakan Delphi,,Andi,979-731-791-9,Yogyakarta
,Mikroprosesor,,Graha ilmu,979-756-103-x,Yogyakarta
,Instalasi dan konfigurasi jaringan windows dan linux,,Andi,979-731-790-0,Yogyakarta
,Statistik Six Sigma dengan Minitab Tuan cerdas inisiatif kualitas,,Andi,979-763-554-6,Yogyakarta
,Komunikasi data,,Andi,979-731-324-7,Yogyakarta
,Membangun sendiri server mailing list,,Andi,979-731-662-9,Yogyakarta
,Pengolahan citra digital,,Graha ilmu,979-756-072-6,Yogyakarta
,Gamelan jegog bali,,Intra pustaka utama,979-98013-0-3,Semarang
,Media komunikasi siapa mengorbankan siapa,,Fisipol UGM,979-8147-09-X,Yogyakarta
,Dasar-dasar akuntansi,,Bumi aksara,979-326-543-1,Jakarta
,Komunikasi negara dan masyarakat,,Fisipol UGM,979-8147-04-9,Yogyakarta
,Teori komunikasi sejarah metode dan terapan di dalam media massa,,Gramedia Pustaka Utama,979-3925-08-6,Jakarta
,Ilmu Komunikasi teori dan praktek,,Remaja Rosdakarya,979-514-030-2,Bandung
,Pengantar ilmu komunikasi,,Ghalia Indonesia,979-450-490-4,Jakarta
,Mengenal lokal area network (lan),,Alex Media Komputindo,979-537-027-8,Jakarta
,Introduction mass communication,,Gramedia Pustaka Utama,0-07-282758-0,Bandung
,Infrastruktur wireless internet kecepatan 11-22 mbps,,Andi,979-731-006-x,Yogyakarta
,Business communication,,Thomson,0-17-622515-3,Canada
,Perilaku oraganisasi,,ITB Bandung,979-533-590-1,Yogyakarta
